,Address,Price,NoOfBedrooms,NoOfBathrooms,AreaSqYards
0,"Bahria Town Karachi, Karachi",4200000.0,1.0,1.0,60
1,"Bahria Town - Precinct 17, Bahria Town Karachi",5900000.0,2.0,2.0,161
2,"Bahria Paradise, Bahria Town Karachi",42000000.0,5.0,5.0,500
3,"Askari 5 - Sector J, Askari 5",37500000.0,3.0,3.0,300
4,"Bahria Town - Precinct 35, Bahria Sports City",21000000.0,4.0,4.0,350
5,"Bahria Paradise, Bahria Town Karachi",46500000.0,5.0,5.0,500
6,"Bahria Town - Precinct 1, Bahria Town Karachi",35000000.0,5.0,6.0,272
7,"Askari 5 - Sector J, Askari 5",68000000.0,5.0,5.0,375
8,"North Nazimabad - Block F, North Nazimabad",18000000.0,3.0,3.0,150
10,"Askari 5 - Sector J, Askari 5",64300000.0,5.0,5.0,375
11,"Askari 5 - Sector J, Askari 5",64500000.0,5.0,5.0,375
12,other,6500000.0,2.0,2.0,950
14,"Surjani Town, Gadap Town",5500000.0,2.0,2.0,111
15,"Surjani Town, Gadap Town",4400000.0,2.0,2.0,80
16,"Surjani Town, Gadap Town",2500000.0,1.0,1.0,47
17,other,30000000.0,3.0,3.0,144
18,"Garden West, Karachi",18500000.0,3.0,4.0,167
19,other,31000000.0,3.0,3.0,167
20,"Garden East, Jamshed Town",52500000.0,5.0,5.0,160
21,"Garden West, Karachi",13500000.0,3.0,3.0,128
22,other,55000000.0,8.0,6.0,200
23,other,42500000.0,5.0,5.0,222
24,"Shaheed Millat Road, Karachi",90000000.0,6.0,6.0,302
25,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11",14000000.0,3.0,3.0,152
26,"Bahria Town - Precinct 31, Bahria Town Karachi",15000000.0,3.0,3.0,235
27,"Bahria Heights, Bahria Town Karachi",6000000.0,2.0,2.0,122
28,"Bahria Town - Precinct 31, Bahria Town Karachi",14000000.0,3.0,3.0,235
29,"Bahria Town Karachi, Karachi",13500000.0,3.0,3.0,125
32,"Saima Arabian Villas, Gadap Town",12300000.0,2.0,2.0,120
33,"Bahria Apartments, Bahria Town Karachi",9000000.0,2.0,2.0,106
34,"Bahria Town - Precinct 10-A, Bahria Town Karachi",18200000.0,3.0,3.0,200
35,"Askari 5 - Sector J, Askari 5",64100000.0,5.0,5.0,375
36,"Askari 5 - Sector J, Askari 5",64000000.0,5.0,5.0,375
37,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",11000000.0,3.0,3.0,156
38,"Bahria Apartments, Bahria Town Karachi",8200000.0,2.0,2.0,106
39,"Bahria Heights, Bahria Town Karachi",9200000.0,2.0,2.0,122
41,"Bahria Sports City, Bahria Town Karachi",24500000.0,4.0,4.0,350
42,"PECHS Block 6, PECHS",42500000.0,3.0,3.0,178
43,"Garden West, Karachi",25000000.0,4.0,5.0,211
44,"Garden East, Jamshed Town",36000000.0,4.0,4.0,200
45,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",57500000.0,8.0,6.0,240
46,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",54000000.0,7.0,6.0,240
47,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",65000000.0,8.0,6.0,300
48,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar",24000000.0,3.0,3.0,183
49,"North Nazimabad - Block M, North Nazimabad",10500000.0,2.0,2.0,117
50,"Bahria Town - Precinct 31, Bahria Town Karachi",14000000.0,3.0,3.0,235
51,"Bahria Town - Precinct 27, Bahria Town Karachi",16000000.0,3.0,3.0,235
52,"Bahria Apartments, Bahria Town Karachi",5035000.0,1.0,1.0,59
53,"Bahria Town - Precinct 19, Bahria Town Karachi",9000000.0,2.0,2.0,106
54,"Bahria Town Karachi, Karachi",14800000.0,3.0,3.0,125
55,"DHA Phase 6, DHA Defence",98500000.0,5.0,6.0,600
56,"DHA Phase 8 - Zone A, DHA Phase 8",210000000.0,5.0,6.0,500
57,"Bahria Town - Ali Block, Bahria Town - Precinct 12",14000000.0,3.0,3.0,125
58,"Malir Cantonment, Cantt",9800000.0,2.0,2.0,102
59,"Gulshan-e-Iqbal - Block 4, Gulshan-e-Iqbal",24000000.0,3.0,3.0,178
60,"Askari 5 - Sector J, Askari 5",64100000.0,5.0,5.0,375
61,"Askari 5 - Sector J, Askari 5",64200000.0,5.0,5.0,375
62,"DHA Phase 5, DHA Defence",72500000.0,6.0,6.0,500
63,"North Karachi - Sector 11A, North Karachi",11000000.0,3.0,3.0,160
64,other,26500000.0,4.0,5.0,120
65,"North Karachi - Sector 11A, North Karachi",32500000.0,3.0,3.0,288
66,other,17800000.0,4.0,4.0,120
67,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar",21000000.0,3.0,3.0,167
68,"North Nazimabad - Block M, North Nazimabad",10500000.0,2.0,2.0,128
69,"Federal B Area - Block 10, Federal B Area",106000000.0,6.0,6.0,400
70,"Rafi Premier Residency, Scheme 33",17200000.0,3.0,3.0,194
71,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",16500000.0,2.0,2.0,122
72,"Bukhari Commercial Area, DHA Phase 6",17000000.0,3.0,3.0,128
73,"DHA Phase 8, DHA Defence",37500000.0,4.0,5.0,100
74,"DHA Phase 6, DHA Defence",115000000.0,6.0,6.0,500
75,"Bahria Town - Precinct 35, Bahria Sports City",20000000.0,4.0,4.0,350
76,"Bahria Town - Precinct 19, Bahria Town Karachi",9000000.0,2.0,2.0,106
77,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",8500000.0,2.0,2.0,120
78,"Askari 5 - Sector J, Askari 5",71000000.0,5.0,5.0,375
79,"Askari 5 - Sector J, Askari 5",67500000.0,5.0,5.0,375
80,"Askari 5 - Sector J, Askari 5",69500000.0,5.0,5.0,375
81,"DHA Phase 6, DHA Defence",14000000.0,3.0,4.0,133
83,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar",25000000.0,3.0,3.0,240
84,other,4000000.0,2.0,2.0,89
85,"Askari 5 - Sector J, Askari 5",64400000.00000001,5.0,5.0,375
86,"Askari 5 - Sector J, Askari 5",64300000.0,5.0,5.0,375
87,other,16200000.000000002,2.0,2.0,120
88,"Clifton - Block 7, Clifton",42500000.0,3.0,4.0,189
89,"Clifton, Karachi",59000000.0,4.0,6.0,467
90,"Civil Lines, Karachi",92800000.0,3.0,5.0,294
91,"Clifton, Karachi",89300000.0,4.0,6.0,667
92,"DHA Phase 7 Extension, DHA Defence",46000000.0,3.0,3.0,100
93,"DHA Phase 7 Extension, DHA Defence",55000000.0,4.0,4.0,150
94,"DHA Phase 7 Extension, DHA Defence",125000000.0,6.0,6.0,500
95,"Clifton - Block 5, Clifton",47500000.0,3.0,3.0,222
96,"DHA Phase 7 Extension, DHA Defence",38500000.0,4.0,4.0,100
97,"DHA Phase 8, DHA Defence",55000000.0,4.0,4.0,120
98,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",17000000.0,3.0,3.0,152
99,"Bahria Town - Precinct 10-A, Bahria Town Karachi",19500000.0,3.0,3.0,200
100,"Askari 5 - Sector J, Askari 5",68500000.0,5.0,5.0,428
101,"Askari 5 - Sector J, Askari 5",38500000.0,3.0,3.0,300
102,"Askari 5 - Sector H, Askari 5",81000000.0,5.0,5.0,427
103,"Askari 5 - Sector J, Askari 5",65000000.0,5.0,6.0,375
104,"Askari 5 - Sector J, Askari 5",37500000.0,3.0,4.0,289
105,"Bahria Town Karachi, Karachi",13000000.0,3.0,3.0,125
106,"Bahria Apartments, Bahria Town Karachi",9600000.0,2.0,2.0,109
107,"Bahria Town - Ali Block, Bahria Town - Precinct 12",15500000.0,4.0,4.0,125
108,"Bahria Town - Precinct 27, Bahria Town Karachi",17000000.0,3.0,3.0,235
109,"Bahria Town Karachi, Karachi",6600000.0,2.0,2.0,91
110,"Askari 5 - Sector J, Askari 5",64400000.00000001,5.0,5.0,375
111,"Askari 5 - Sector J, Askari 5",64000000.0,5.0,5.0,375
112,"Askari 5 - Sector G, Askari 5",85500000.0,5.0,5.0,500
113,"Askari 5, Malir Cantonment",37500000.0,3.0,3.0,286
114,"Askari 5, Malir Cantonment",38000000.0,3.0,3.0,286
115,"North Nazimabad - Block C, North Nazimabad",55000000.0,6.0,6.0,400
116,"North Nazimabad - Block J, North Nazimabad",30500000.0,3.0,3.0,200
117,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",19000000.0,3.0,3.0,200
118,"Bahria Town - Precinct 10-A, Bahria Town Karachi",17800000.0,3.0,3.0,200
