,Address,Price,NoOfBedrooms,NoOfBathrooms,AreaSqYards,WebURL
0,"Bahria Town Karachi, Karachi",4200000.0,1.0,1.0,60,https://www.zameen.com/Homes/Karachi-2-1.html
1,"Bahria Town - Precinct 17, Bahria Town Karachi",5900000.0,2.0,2.0,161,https://www.zameen.com/Homes/Karachi-2-1.html
2,"Bahria Paradise, Bahria Town Karachi",42000000.0,5.0,5.0,500,https://www.zameen.com/Homes/Karachi-2-1.html
3,"Askari 5 - Sector J, Askari 5",37500000.0,3.0,3.0,300,https://www.zameen.com/Homes/Karachi-2-1.html
4,"Bahria Town - Precinct 35, Bahria Sports City",21000000.0,4.0,4.0,350,https://www.zameen.com/Homes/Karachi-2-1.html
5,"Bahria Paradise, Bahria Town Karachi",46500000.0,5.0,5.0,500,https://www.zameen.com/Homes/Karachi-2-1.html
6,"Bahria Town - Precinct 1, Bahria Town Karachi",35000000.0,5.0,6.0,272,https://www.zameen.com/Homes/Karachi-2-1.html
7,"Askari 5 - Sector J, Askari 5",68000000.0,5.0,5.0,375,https://www.zameen.com/Homes/Karachi-2-1.html
8,"North Nazimabad - Block F, North Nazimabad",18000000.0,3.0,3.0,150,https://www.zameen.com/Homes/Karachi-2-1.html
9,"DHA Phase 8, DHA Defence",395000000.0,6.0,,0,https://www.zameen.com/Homes/Karachi-2-1.html
10,"Askari 5 - Sector J, Askari 5",64300000.0,5.0,5.0,375,https://www.zameen.com/Homes/Karachi-2-1.html
11,"Askari 5 - Sector J, Askari 5",64500000.0,5.0,5.0,375,https://www.zameen.com/Homes/Karachi-2-1.html
12,"Nazimabad - Block 5D, Nazimabad",6500000.0,2.0,2.0,950,https://www.zameen.com/Homes/Karachi-2-1.html
13,"Karachi - Hyderabad Motorway, Karachi",75000000.0,2.0,2.0,4,https://www.zameen.com/Homes/Karachi-2-1.html
14,"Surjani Town, Gadap Town",5500000.0,2.0,2.0,111,https://www.zameen.com/Homes/Karachi-2-1.html
15,"Surjani Town, Gadap Town",4400000.0,2.0,2.0,80,https://www.zameen.com/Homes/Karachi-2-1.html
16,"Surjani Town, Gadap Town",2500000.0,1.0,1.0,47,https://www.zameen.com/Homes/Karachi-2-1.html
17,"Parsi Colony, Jamshed Town",30000000.0,3.0,3.0,144,https://www.zameen.com/Homes/Karachi-2-1.html
18,"Garden West, Karachi",18500000.0,3.0,4.0,167,https://www.zameen.com/Homes/Karachi-2-1.html
19,"Cosmopolitan Society, Karachi",31000000.0,3.0,3.0,167,https://www.zameen.com/Homes/Karachi-2-1.html
20,"Garden East, Jamshed Town",52500000.0,5.0,5.0,160,https://www.zameen.com/Homes/Karachi-2-1.html
21,"Garden West, Karachi",13500000.0,3.0,3.0,128,https://www.zameen.com/Homes/Karachi-2-1.html
22,"Al-Hilal Society, Karachi",55000000.0,8.0,6.0,200,https://www.zameen.com/Homes/Karachi-2-1.html
23,"Guru Mandir Chorangi, Karachi",42500000.0,5.0,5.0,222,https://www.zameen.com/Homes/Karachi-2-1.html
24,"Shaheed Millat Road, Karachi",90000000.0,6.0,6.0,302,https://www.zameen.com/Homes/Karachi-2-1.html
25,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11",14000000.0,3.0,3.0,152,https://www.zameen.com/Homes/Karachi-2-2.html
26,"Bahria Town - Precinct 31, Bahria Town Karachi",15000000.0,3.0,3.0,235,https://www.zameen.com/Homes/Karachi-2-2.html
27,"Bahria Heights, Bahria Town Karachi",6000000.0,2.0,2.0,122,https://www.zameen.com/Homes/Karachi-2-2.html
28,"Bahria Town - Precinct 31, Bahria Town Karachi",14000000.0,3.0,3.0,235,https://www.zameen.com/Homes/Karachi-2-2.html
29,"Bahria Town Karachi, Karachi",13500000.0,3.0,3.0,125,https://www.zameen.com/Homes/Karachi-2-2.html
30,"DHA Phase 8, DHA Defence",320000000.0,6.0,6.0,1,https://www.zameen.com/Homes/Karachi-2-2.html
31,"DHA Phase 6, DHA Defence",100000000.0,,0.0,0,https://www.zameen.com/Homes/Karachi-2-2.html
32,"Saima Arabian Villas, Gadap Town",12300000.0,2.0,2.0,120,https://www.zameen.com/Homes/Karachi-2-2.html
33,"Bahria Apartments, Bahria Town Karachi",9000000.0,2.0,2.0,106,https://www.zameen.com/Homes/Karachi-2-2.html
34,"Bahria Town - Precinct 10-A, Bahria Town Karachi",18200000.0,3.0,3.0,200,https://www.zameen.com/Homes/Karachi-2-2.html
35,"Askari 5 - Sector J, Askari 5",64100000.0,5.0,5.0,375,https://www.zameen.com/Homes/Karachi-2-2.html
36,"Askari 5 - Sector J, Askari 5",64000000.0,5.0,5.0,375,https://www.zameen.com/Homes/Karachi-2-2.html
37,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",11000000.0,3.0,3.0,156,https://www.zameen.com/Homes/Karachi-2-2.html
38,"Bahria Apartments, Bahria Town Karachi",8200000.0,2.0,2.0,106,https://www.zameen.com/Homes/Karachi-2-2.html
39,"Bahria Heights, Bahria Town Karachi",9200000.0,2.0,2.0,122,https://www.zameen.com/Homes/Karachi-2-2.html
40,"North Karachi - Sector 11A, North Karachi",32500000.0,,0.0,0,https://www.zameen.com/Homes/Karachi-2-2.html
41,"Bahria Sports City, Bahria Town Karachi",24500000.0,4.0,4.0,350,https://www.zameen.com/Homes/Karachi-2-2.html
42,"PECHS Block 6, PECHS",42500000.0,3.0,3.0,178,https://www.zameen.com/Homes/Karachi-2-2.html
43,"Garden West, Karachi",25000000.0,4.0,5.0,211,https://www.zameen.com/Homes/Karachi-2-2.html
44,"Garden East, Jamshed Town",36000000.0,4.0,4.0,200,https://www.zameen.com/Homes/Karachi-2-2.html
45,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",57500000.0,8.0,6.0,240,https://www.zameen.com/Homes/Karachi-2-2.html
46,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",54000000.0,7.0,6.0,240,https://www.zameen.com/Homes/Karachi-2-2.html
47,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",65000000.0,8.0,6.0,300,https://www.zameen.com/Homes/Karachi-2-2.html
48,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar",24000000.0,3.0,3.0,183,https://www.zameen.com/Homes/Karachi-2-2.html
49,"North Nazimabad - Block M, North Nazimabad",10500000.0,2.0,2.0,117,https://www.zameen.com/Homes/Karachi-2-2.html
50,"Bahria Town - Precinct 31, Bahria Town Karachi",14000000.0,3.0,3.0,235,https://www.zameen.com/Homes/Karachi-2-3.html
51,"Bahria Town - Precinct 27, Bahria Town Karachi",16000000.0,3.0,3.0,235,https://www.zameen.com/Homes/Karachi-2-3.html
52,"Bahria Apartments, Bahria Town Karachi",5035000.0,1.0,1.0,59,https://www.zameen.com/Homes/Karachi-2-3.html
53,"Bahria Town - Precinct 19, Bahria Town Karachi",9000000.0,2.0,2.0,106,https://www.zameen.com/Homes/Karachi-2-3.html
54,"Bahria Town Karachi, Karachi",14800000.0,3.0,3.0,125,https://www.zameen.com/Homes/Karachi-2-3.html
55,"DHA Phase 6, DHA Defence",98500000.0,5.0,6.0,600,https://www.zameen.com/Homes/Karachi-2-3.html
56,"DHA Phase 8 - Zone A, DHA Phase 8",210000000.0,5.0,6.0,500,https://www.zameen.com/Homes/Karachi-2-3.html
57,"Bahria Town - Ali Block, Bahria Town - Precinct 12",14000000.0,3.0,3.0,125,https://www.zameen.com/Homes/Karachi-2-3.html
58,"Malir Cantonment, Cantt",9800000.0,2.0,2.0,102,https://www.zameen.com/Homes/Karachi-2-3.html
