,Address,NoOfBedrooms,NoOfBathrooms,AreaSqYards
16577,"Bahria Town - Precinct 25, Bahria Town Karachi",3.0,3.0,125
15392,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",3.0,3.0,152
16078,"Shahra-e-Faisal, Karachi",4.0,4.0,267
5124,"DHA Phase 5, DHA Defence",6.0,6.0,500
5189,"Askari 5 - Sector G, Askari 5",5.0,5.0,500
8181,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
12047,"Falcon Complex New Malir, Malir",4.0,5.0,350
3058,"Askari 5 - Sector J, Askari 5",3.0,4.0,289
18778,"Gulistan-e-Jauhar - Block 12, Gulistan-e-Jauhar",3.0,3.0,250
1678,"North Nazimabad - Block C, North Nazimabad",3.0,4.0,200
16957,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal",2.0,2.0,120
13730,"Gulshan-e-Maymar - Sector R, Gulshan-e-Maymar",3.0,3.0,194
4995,"Bahria Town - Precinct 10-A, Bahria Town Karachi",3.0,3.0,200
10949,"Askari 5 - Sector J, Askari 5",3.0,4.0,300
2981,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,106
15570,"DHA Phase 8, DHA Defence",2.0,3.0,183
6502,other,1.0,1.0,50
1401,"Gulshan-e-Iqbal - Block 11, Gulshan-e-Iqbal",2.0,2.0,122
14062,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar",3.0,3.0,300
6903,"PECHS Block 2, PECHS",2.0,2.0,122
11728,"Amir Khusro, Karachi",5.0,6.0,250
7238,"Gulshan-e-Maymar - Sector Z, Gulshan-e-Maymar",3.0,3.0,144
5150,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",3.0,4.0,189
8349,"Federal B Area - Block 12, Federal B Area",3.0,3.0,200
1215,"Quetta Town - Sector 18-A, Scheme 33 - Sector 18-A",2.0,2.0,120
7664,"PECHS Block 6, PECHS",4.0,5.0,244
12672,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
2506,"Bahria Town - Precinct 1, Bahria Town Karachi",3.0,3.0,144
4381,"Karachi University Housing Society, Scheme 33",3.0,4.0,125
16494,other,4.0,4.0,275
11455,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",3.0,3.0,240
3081,"Falcon Complex New Malir, Malir",5.0,6.0,500
4093,"Gulistan-e-Jauhar - Block 17, Gulistan-e-Jauhar",5.0,4.0,120
14028,"Bahria Town - Precinct 19, Bahria Town Karachi",2.0,2.0,106
9845,"North Nazimabad - Block F, North Nazimabad",3.0,4.0,172
19391,"North Nazimabad - Block M, North Nazimabad",2.0,2.0,117
12529,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
12630,"Gulistan-e-Jauhar - Block 12, Gulistan-e-Jauhar",3.0,3.0,75
6048,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2",3.0,3.0,200
18893,"Gulistan-e-Jauhar - Block 12, Gulistan-e-Jauhar",6.0,6.0,100
16634,"Saima Arabian Villas, Gadap Town",3.0,3.0,160
8983,"Bahria Town - Precinct 10-A, Bahria Town Karachi",3.0,3.0,200
2406,"Badar Commercial Area, DHA Phase 5",3.0,3.0,200
1565,other,3.0,3.0,200
5545,"Askari 5 - Sector J, Askari 5",4.0,4.0,367
13340,other,5.0,5.0,350
2162,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,106
8475,"Bahria Town Karachi, Karachi",3.0,3.0,45
6575,"Bath Island, Karachi",4.0,5.0,267
10407,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2",3.0,3.0,152
11581,"Model Colony - Malir, Malir",4.0,4.0,120
7359,"Cantt Bazar, Malir Cantonment",2.0,2.0,140
17820,"Saima Elite Villas, Malir",3.0,3.0,240
2328,"Falcon Complex New Malir, Malir",5.0,6.0,350
5664,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal",3.0,3.0,144
14181,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",6.0,6.0,300
11372,"Grey Noor Tower & Shopping Mall, Scheme 33",3.0,3.0,128
9507,"Bahria Paradise, Bahria Town Karachi",5.0,5.0,500
13429,"Mehmoodabad, Karachi",3.0,3.0,94
6112,other,2.0,2.0,122
7874,"Shadman Town - Sector-14/B, Shadman",6.0,6.0,240
11127,"Saima Arabian Villas, Gadap Town",3.0,3.0,160
1913,"Defence View Society, Karachi",4.0,4.0,244
4386,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar",10.0,6.0,400
15530,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
15755,"Gulshan-e-Iqbal - Block 3, Gulshan-e-Iqbal",2.0,2.0,133
11611,other,2.0,2.0,106
13282,"Bath Island, Karachi",3.0,4.0,267
7064,"DHA Phase 8, DHA Defence",2.0,2.0,54
19089,"Gulshan-e-Iqbal - Block 10-A, Gulshan-e-Iqbal",3.0,3.0,178
271,"Clifton, Karachi",3.0,3.0,200
8966,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11",3.0,3.0,152
15429,"Bath Island, Karachi",3.0,4.0,244
12041,"Bahria Town - Precinct 27, Bahria Town Karachi",3.0,3.0,235
7752,"Gulshan-e-Iqbal - Block 11, Gulshan-e-Iqbal",2.0,2.0,94
272,"Clifton, Karachi",3.0,4.0,189
7353,"Gulshan-e-Maymar, Gadap Town",2.0,3.0,100
6094,"DHA Phase 4, DHA Defence",4.0,4.0,300
4274,"Bahria Town - Ali Block, Bahria Town - Precinct 12",3.0,3.0,125
3165,"DHA Phase 8, DHA Defence",4.0,5.0,500
7659,"DHA Phase 7, DHA Defence",4.0,5.0,250
18799,"Gulistan-e-Jauhar - Block 19, Gulistan-e-Jauhar",5.0,4.0,120
18103,"Gulistan-e-Jauhar - Block 3-A, Gulistan-e-Jauhar",3.0,3.0,400
8638,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
1192,"Bahria Town - Precinct 31, Bahria Town Karachi",3.0,4.0,235
15831,"Naya Nazimabad - Block B, Naya Nazimabad",2.0,2.0,120
7682,"Bahria Town Karachi, Karachi",2.0,2.0,106
1700,"Gulistan-e-Jauhar, Karachi",3.0,4.0,206
12440,"Bahria Town - Precinct 27, Bahria Town Karachi",3.0,3.0,125
15727,"PECHS Block 2, PECHS",2.0,2.0,133
7218,"Bahria Town Karachi, Karachi",3.0,3.0,200
11903,"Bahria Town - Precinct 2, Bahria Town Karachi",3.0,3.0,368
1301,"DHA Phase 2 Extension, DHA Defence",3.0,4.0,133
8376,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11",3.0,3.0,152
5751,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",3.0,3.0,156
12353,"North Nazimabad - Block L, North Nazimabad",2.0,2.0,111
10260,"Harmain Royal Residency, Gulshan-e-Iqbal Town",3.0,3.0,150
14607,"Gulistan-e-Jauhar - Block 11, Gulistan-e-Jauhar",3.0,3.0,167
19071,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",5.0,5.0,250
14486,"KDA Officers Society, Gulshan-e-Iqbal Town",6.0,6.0,400
11060,other,3.0,3.0,286
16190,other,2.0,2.0,114
2071,"Gulshan-e-Iqbal - Block 13/C, Gulshan-e-Iqbal",3.0,3.0,240
10523,"DHA Phase 8, DHA Defence",4.0,4.0,100
